moviename,theater,numberofkids,other,starttime,date,mpaa_rating,theater_chain,actress,zip,state,distanceconstraints,city,genre,video_format,critic_rating,actor,price,
zootopia,manville 12 plex,,,10:30am,tomorrow,,,,08835,nj,,hamilton,comedy,,good,,,
zootopia,manville 12 plex,,,10:30am,tomorrow,,,,08835,nj,,manville,comedy,,good,,,
zootopia,manville 12 plex,,,10:30am,tomorrow,,,,08835,nj,,bridgewater,comedy,,good,,,
zootopia,amc dine-in theatres bridgewater 7,,,10:30am,tomorrow,,,,08835,nj,,hamilton,comedy,,good,,,
zootopia,amc dine-in theatres bridgewater 7,,,10:30am,tomorrow,,,,08835,nj,,manville,comedy,,good,,,
kung fu panda 3,every single theatre,,not available,,this weekend,pg,,,98004,washington,,seattle,,,,,,
kung fu panda 3,every single theatre,,not available,,this weekend,pg,,,98004,washington,,bellevue,,,,,,
kung fu panda 3,bellevue lincoln square cinemas,,not available,,this weekend,pg,,,98004,washington,,seattle,,,,,,
kung fu panda 3,bellevue lincoln square cinemas,,not available,,this weekend,pg,,,98004,washington,,bellevue,,,,,,
kung fu panda 3,regal meridian 16,,not available,,this weekend,pg,,,98004,washington,,seattle,,,,,,
zootopia,regal meridian 16,two,movie assistant number,6:30pm,tonight,,regal meridian,,98101,wa,,seattle,,,,,,
zootopia,regal meridian 16,two,movie assistant number,6:30pm,tonight,,regal meridian,,98101,wa,,bellevue,,,,,,
zootopia,bellevue lincoln square cinemas,two,movie assistant number,6:30pm,tonight,,regal meridian,,98101,wa,,seattle,,,,,,
zootopia,bellevue lincoln square cinemas,two,movie assistant number,6:30pm,tonight,,regal meridian,,98101,wa,,bellevue,,,,,,
zootopia,regal meridian,two,movie assistant number,6:30pm,tonight,,regal meridian,,98101,wa,,seattle,,,,,,
zootopia,carmike summit 16,,,around 2pm,today,,,,,al,,birmingham,,,,,,
zootopia,carmike summit,,,around 2pm,today,,,,,al,,birmingham,,,,,,
zootopia,carmike summit 16,,,1:30,today,,,,,al,,birmingham,,,,,,
zootopia,carmike summit,,,1:30,today,,,,,al,,birmingham,,,,,,
zootopia,carmike summit 16,,,4:00,today,,,,,al,,birmingham,,,,,,
How to be single,century centre 9,,,night,tomorrow,,,,,,,san francisco,,,,,,
How to be single,Redwood City 20,,,night,tomorrow,,,,,,,san francisco,,,,,,
How to be single,century centre 9,,,11:05am,tomorrow,,,,,,,san francisco,,,,,,
How to be single,Redwood City 20,,,11:05am,tomorrow,,,,,,,san francisco,,,,,,
How to be single,century centre 9,,,1:45pm,tomorrow,,,,,,,san francisco,,,,,,
london has fallen,many,,search theater,latest showing,tonight,,,,,,,seattle,,,,,,
london has fallen,regal meridian 16,,search theater,latest showing,tonight,,,,,,,seattle,,,,,,
whiskey tango foxtrot,many,,search theater,latest showing,tonight,,,,,,,seattle,,,,,,
whiskey tango foxtrot,regal meridian 16,,search theater,latest showing,tonight,,,,,,,seattle,,,,,,
zootopia,many,,search theater,latest showing,tonight,,,,,,,seattle,,,,,,
deadpool,amc pacific place 11,,,9:00 pm,tomorrow,,,,,,,seattle,,,,,,
deadpool,carmike summit 16,,,around 6pm,today,,,,,al,,birmingham,,,,,,
deadpool,carmike summit 16,,,7:20,today,,,,,al,,birmingham,,,,,,
zootopia,regal meridian 16,,,9:10 pm,tomorrow,,,,,,,seattle,,,,,,
hail caesar,regal meridian 16,,,8:45 pm,tomorrow,,,,,,,seattle,,,,,,
hail caesar,regal meridian 16,,,8:45,tomorrow,,,,,,,seattle,,,,,,
star wars,regal lloyd center 10,,,10 pm,friday,,,,,oregon,,portland,,,,,,
star wars,regal lloyd center 10,,,9:50 pm,friday,,,,,oregon,,portland,,,,,,
zootopia,carmike 16,,,around 3 pm,tomorrow,,,,,al,,birmingham,kid,3d,,,,
zootopia,carmike 16,,,around 3 pm,tomorrow,,,,,al,,birmingham,kid,standard,,,,
zootopia,carmike 16,,,12pm,tomorrow,,,,,al,,birmingham,kid,3d,,,,
zootopia,carmike 16,,,12pm,tomorrow,,,,,al,,birmingham,kid,standard,,,,
 kung fu panda 3,carmike 16,,,around 3 pm,tomorrow,,,,,al,,birmingham,kid,3d,,,,
room,amc pacific place 11 theater,,,9:30 pm,tomorrow,,,,,,,seattle,,,,,,
zootopia,river east 21,,cannot book,night,saturday,,amc,,,,,,,2d,,,,
zootopia,river east 21,,cannot book,night,saturday,,amc,,,,,,,3d,,,,
zootopia,river east 21,,cannot book,night,tomorrow,,amc,,,,,,,2d,,,,
zootopia,river east 21,,cannot book,night,tomorrow,,amc,,,,,,,3d,,,,
zootopia,river east 21,,cannot book,6pm,saturday,,amc,,,,,,,2d,,,,
the witch,regal meridian 16,,,9:30 pm,tomorrow,,,,,,,seattle,,,,,,
deadpool,emagine theater,,,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,3/11,,,,48071,mi,closest,royal oak,,,,,,
deadpool,emagine theater,,,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,3/11,,,,48071,mi,closest,Royal Oak,,,,,,
deadpool,emagine theater,,,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,3/11,,,,48071,mi,closest,madison heights,,,,,,
deadpool,emagine,,,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,3/11,,,,48071,mi,closest,royal oak,,,,,,
deadpool,emagine,,,10:05am#12:30pm#2:55pm#5:30pm#8:00pm#10:40pm,3/11,,,,48071,mi,closest,Royal Oak,,,,,,
independce day,,,servicing tickets,7pm,,,,,,,,detroit,,,,,,
zootopia#kung fu panda 3,any,,,around 7pm,now,rated pg,,,,iowa,,des moines,,,,,,
zootopia#kung fu panda 3,FLIX BREWHOUSE DES MOINES,,,around 7pm,now,rated pg,,,,iowa,,des moines,,,,,,
zootopia#kung fu panda 3,CARMIKE COBBLESTONE 9,,,around 7pm,now,rated pg,,,,iowa,,des moines,,,,,,
zootopia#kung fu panda 3,any,,,around 7pm,tomorrow,rated pg,,,,iowa,,des moines,,,,,,
zootopia#kung fu panda 3,FLIX BREWHOUSE DES MOINES,,,around 7pm,tomorrow,rated pg,,,,iowa,,des moines,,,,,,
zootopia,cinemas,,,earliest showing,tomorrow afternoon,,,,,pennsylvania,,johnstown,,standard/2D version,,,,
zootopia,cinemas,,,earliest showing,tomorrow afternoon,,,,,pennsylvania,,johnstown,,3d,,,,
zootopia,cinemas,,,earliest showing,tomorrow afternoon,,,,,pennsylvania,,johnstown,,standard,,,,
zootopia,cinemas,,,12:45pm,tomorrow afternoon,,,,,pennsylvania,,johnstown,,standard/2D version,,,,
zootopia,cinemas,,,12:45pm,tomorrow afternoon,,,,,pennsylvania,,johnstown,,3d,,,,
the witch,regal meridian 16,,,9:30 pm,tomorrow,,,,,,,seattle,,,,,,
Deadpool,,,rotten tomatoes,,,,,,,,,,action,,84 percent,ryan reynolds,,
Deadpool,,,rotten tomatoes,,,,,,,,,,violence,,84 percent,ryan reynolds,,
Deadpool,,,rotten tomatoes,,,,,,,,,,action,,93 of audience,ryan reynolds,,
Deadpool,,,rotten tomatoes,,,,,,,,,,violence,,93 of audience,ryan reynolds,,
London has fallen,,,rotten tomatoes,,,,,,,,,,action,,84 percent,ryan reynolds,,
london has fallen,regal visalia stadium 10,,,12:35pm,march 12,,,,,california,,visalia,,,,,,
london has fallen,regal visalia stadium 10,,, 4:05pm,march 12,,,,,california,,visalia,,,,,,
london has fallen,regal visalia stadium 10,,, 7:05pm,march 12,,,,,california,,visalia,,,,,,
london has fallen,regal visalia stadium 10,,, 9:55pm,march 12,,,,,california,,visalia,,,,,,
london has fallen,regal visalia stadium 10,,,7:05 pm,march 12,,,,,california,,visalia,,,,,,
,,,pub serves good burgers,,,,,,,,near the space needle,,,,,,,
10 cloverfield lane,amc pacific place 11,,serves seafood,night,Friday,,,,98101,wa,area,seattle,,,,,,
10 cloverfield lane,amc pacific place 11,,serves seafood,night,Friday,,,,98101,wa,area,bellevue,,,,,,
10 cloverfield lane,bellevue lincoln square cinemas,,serves seafood,night,Friday,,,,98101,wa,area,seattle,,,,,,
10 cloverfield lane,bellevue lincoln square cinemas,,serves seafood,night,Friday,,,,98101,wa,area,bellevue,,,,,,
10 cloverfield lane,amc pacific place 11,,serves seafood,night,Friday,,,,98004,wa,area,seattle,,,,,,
lolo,amc loews boston common 19,,,8pm,saturday,,,,,ma,nearest,boston,,,,,,
lolo,amc loews boston common 19,,,8:20,saturday,,,,,ma,nearest,boston,,,,,,
deadpool,amc loews boston common 19,,,8pm,saturday,,,,,ma,nearest,boston,,,,,,
deadpool,amc loews boston common 19,,,8:20,saturday,,,,,ma,nearest,boston,,,,,,
deadpool,bellevue lincoln square cinemas,,,8:15pm,tonight,,,,98004,washington,near 98119,bellevue,superhero,,,ryan reynolds,,
deadpool,amc pacific place 11,,,8:15pm,tonight,,,,98004,washington,near 98119,bellevue,superhero,,,ryan reynolds,,
deadpool,bellevue lincoln square cinemas,,,8:15pm,tonight,,,,98004,wa,near 98119,bellevue,superhero,,,ryan reynolds,,
deadpool,amc pacific place 11,,,8:15pm,tonight,,,,98004,wa,near 98119,bellevue,superhero,,,ryan reynolds,,
how to be single,amc pacific place 11,,date,between 9 and 10,tonight,,,,98101,washington,,seattle,romance,,best,,,
how to be single,amc pacific place 11,,date,between 9 and 10,tonight,,,,98101,wa,,seattle,romance,,best,,,
how to be single,amc pacific place 11,,date,7:20,tonight,,,,98101,washington,,seattle,romance,,best,,,
how to be single,amc pacific place 11,,date,7:20,tonight,,,,98101,wa,,seattle,romance,,best,,,
how to be single,amc pacific place 11,,date,10:20,tonight,,,,98101,washington,,seattle,romance,,best,,,
the witch#the other side of the door#the boy,amc showplace carbondale 8,,scary,night,tuesday,,,,,illinois,,carbondale,thriller,,,,,
the witch#the other side of the door#the boy,amc showplace carbondale 8,,scary,after 7pm,tuesday,,,,,illinois,,carbondale,thriller,,,,,
the witch#the other side of the door#the boy,amc showplace carbondale 8,,scary,4:40 pm,tuesday,,,,,illinois,,carbondale,thriller,,,,,
the witch#the other side of the door#the boy,amc showplace carbondale 8,,scary,before dinner,tuesday,,,,,illinois,,carbondale,thriller,,,,,
the other side of the door,amc showplace carbondale 8,,scary,night,tuesday,,,,,illinois,,carbondale,thriller,,,,,
triple 9,amc lowes oak tree,,,7:10 pm,tomorrow,,,,,,,seattle,,,,,,
triple 9,amc lowes oak tree 6,,,7:10 pm,tomorrow,,,,,,,seattle,,,,,,
zootopia,regal meridian 16,,,9:10 pm,tomorrow,,,,,,,seattle,,,,,,
deadpool,royal oak emagine theater,,,betwenn 8-10 pm,,,,,,,,,,,,,,
deadpool,carmike summit 16,,,4 pm,today,,,,,al,closest time,birmingham,,,,,,
deadpool,carmike summit 16,,,4:20,today,,,,,al,closest time,birmingham,,,,,,
deadpool,carmike summit 16,,,4:20pm,today,,,,,al,closest time,birmingham,,,,,,
The Witch,Regal LA LIVE Stadium 14,,,from noon to 4pm,tonight,,,,,,,los angeles,,,,,,
The Witch,regal la live stadium,,,from noon to 4pm,tonight,,,,,,,los angeles,,,,,,
The Witch,Regal LA LIVE Stadium 14,,,8:30pm,tonight,,,,,,,los angeles,,,,,,
The Witch,regal la live stadium,,,8:30pm,tonight,,,,,,,los angeles,,,,,,
The Witch,Regal LA LIVE Stadium 14,,,11:00pm,tonight,,,,,,,los angeles,,,,,,
the big short,regal meridian 16,,,8:45 pm,tomorrow,,,,,,,seattle,,,,,,
,Big Picture,,restaurant,,,,,,,,space needle,,,,,,,
,Big Picture,,beer,,,,,,,,space needle,,,,,,,
,Cinerama,,restaurant,,,,,,,,space needle,,,,,,,
,Cinerama,,beer,,,,,,,,space needle,,,,,,,
,Central Cinema,,restaurant,,,,,,,,space needle,,,,,,,
the big short,regal meridian 16,,,8:45 pm,tomorrow,,,,,,,seattle,,,,,,
gods of egypt,,,,around 7pm,tonight,pg13,,,,,,detroit,action,,,,,
gods of egypt,,,,around 7pm,tonight,pg-13,,,,,,detroit,action,,,,,
star wars,,,,around 7pm,tonight,pg13,,,,,,detroit,action,,,,,
star wars,,,,around 7pm,tonight,pg-13,,,,,,detroit,action,,,,,
zootopia,regal meridian 16,,,9:10 pm,tomorrow,,,,,,,seattle,,,,,,
 Young Messiah,,1,, Matinee,saturday,,amc loews stony brook 17,,,ny,,stony brook,,,,,,
 Young Messiah,,1,,11:05am,saturday,,amc loews stony brook 17,,,ny,,stony brook,,,,,,
 Young Messiah,,1,,1:45pm,saturday,,amc loews stony brook 17,,,ny,,stony brook,,,,,,
The Young Messiah,,1,, Matinee,saturday,,amc loews stony brook 17,,,ny,,stony brook,,,,,,
The Young Messiah,,1,,11:05am,saturday,,amc loews stony brook 17,,,ny,,stony brook,,,,,,
eddie the eagle,century rowland plaza,,,4pm to 7pm,next friday,,,,94952,,,,,,,,,
eddie the eagle,the century rowland plaza,,,4pm to 7pm,next friday,,,,94952,,,,,,,,,
eddie the eagle,century rowland plaza,,,4:20pm,next friday,,,,94952,,,,,,,,,
eddie the eagle,the century rowland plaza,,,4:20pm,next friday,,,,94952,,,,,,,,,
eddie the eagle,century rowland plaza,,,6:55pm,next friday,,,,94952,,,,,,,,,
risen,regency commerce 14,,,11:50am,tomorrow,,,,,,,,,,,,,
risen,regency commerce 14,,,2:30pm,tomorrow,,,,,,,,,,,,,
risen,regency commerce 14,,,5:10,tomorrow,,,,,,,,,,,,,
risen,regency commerce 14,,,7:50,tomorrow,,,,,,,,,,,,,
risen,regency commerce 14,,,10:25,tomorrow,,,,,,,,,,,,,
zoolander 2,regal meridian 16,,,9:25 pm,tomorrow,,,,,,,seattle,,,,,,
deadpool,amc pacific place 11 theater,,,9:00 pm,tomorrow,,,,,,,seattle,,,,,,
zootopia,many,,,around 2pm,saturday,,,,,,east side,seattle,,,,,,
zootopia,bellevue lincoln square cinemas,,,around 2pm,saturday,,,,,,east side,seattle,,,,,,
zootopia,bellevue lincoln square,,,around 2pm,saturday,,,,,,east side,seattle,,,,,,
zootopia,many,,,2:35 pm,saturday,,,,,,east side,seattle,,,,,,
zootopia,bellevue lincoln square cinemas,,,2:35 pm,saturday,,,,,,east side,seattle,,,,,,
the witch,regal meridian 16,,,9:30 pm,tomorrow,,,,,,,seattle,,,,,,
zootopia,amc west shore 14 210 Westshore Plaza,,,afternoon,saturday,,,,,fl,,tampa,,3d,,,,
zootopia,amc west shore 14 210 Westshore Plaza,,,afternoon,saturday,,,,,fl,,tampa,,standard,,,,
zootopia,amc west shore 14 210 Westshore Plaza,,,10:00am,saturday,,,,,fl,,tampa,,3d,,,,
zootopia,amc west shore 14 210 Westshore Plaza,,,10:00am,saturday,,,,,fl,,tampa,,standard,,,,
zootopia,amc west shore 14 210 Westshore Plaza,,,12:45pm,saturday,,,,,fl,,tampa,,3d,,,,
zootopia,bellevue lincoln square cinemas,,restaurant,10:00am,weekend,,,,98004,wa,downtown,seattle,,,good place,,,
zootopia,bellevue lincoln square cinemas,,restaurant,10:00am,weekend,,,,98004,wa,downtown,bellevue,,,good place,,,
zootopia,pacific science center imax theaters,,restaurant,10:00am,weekend,,,,98004,wa,downtown,seattle,,,good place,,,
zootopia,pacific science center imax theaters,,restaurant,10:00am,weekend,,,,98004,wa,downtown,bellevue,,,good place,,,
zootopia,bellevue lincoln square cinemas,,restaurant,10:00am,weekend,,,,98109,wa,downtown,seattle,,,good place,,,
zootopia,carmike summit 16,,,10:00am,saturday,pg,,,35243,al,,birmingham,action,,most scene,,,
zootopia,carmike summit 16,,,10:00am,saturday,pg,,,35243,al,,hoover,action,,most scene,,,
zootopia,carmike patton creek,,,10:00am,saturday,pg,,,35243,al,,birmingham,action,,most scene,,,
zootopia,carmike patton creek,,,10:00am,saturday,pg,,,35243,al,,hoover,action,,most scene,,,
zootopia,carmike summit 16,,,10:00am,saturday,pg,,,35244,al,,birmingham,action,,most scene,,,
eddie the eagle,regal meridian sundance cinemas,,,,,,,,,,,seattle,drama,,,,,
the big short,regal meridian sundance cinemas,,,,,,,,,,,seattle,drama,,,,,
eddie the eagle,regal thornton place,,,,,,,,,,,seattle,drama,,,,,
the big short,regal thornton place,,,,,,,,,,,seattle,drama,,,,,
Avengers,,,,,,,,,,,,,,,,,,
Finding Dory,,,,,,,,,,,,,,,,,,
zoology,REGAL NATOMAS MARKETPLACE STADIUM 16 & RPX,,,morning,tomorrow,,,,,ca,close to 95833,Sacramento,,3d,,,,
zoology,Regal Natomas Marketplace,,,morning,tomorrow,,,,,ca,close to 95833,Sacramento,,3d,,,,
zoology,REGAL NATOMAS MARKETPLACE STADIUM 16 & RPX,,,morning,tomorrow,,,,,ca,close to 95833,Sacramento,,standard,,,,
zoology,Regal Natomas Marketplace,,,morning,tomorrow,,,,,ca,close to 95833,Sacramento,,standard,,,,
zoology,REGAL NATOMAS MARKETPLACE STADIUM 16 & RPX,,,morning,tomorrow,,,,,ca,close to 95833,Sacramento,,IMAX,,,,
deadpool,amc pacific place 11,,,10pm,tonight,,,,,,,seattle,,,,,,
deadpool,amc pacific place 11,,,10pm,tomorrow,,,,,,,seattle,,,,,,
deadpool,amc pacific place 11,,,10:00 pm,tonight,,,,,,,seattle,,,,,,
deadpool,amc pacific place 11,,,10:00 pm,tomorrow,,,,,,,seattle,,,,,,
batman,,,mexican restaurant,,march 24th,,,,,,,,,,,,,
batman,,,mexican restaurant,,openingnight,,,,,,,,,,,,,
batman,,,mexican restaurant,, a different day,,,,,,,,,,,,,
batman vs superman,,,mexican restaurant,,march 24th,,,,,,,,,,,,,
batman vs superman,,,mexican restaurant,,openingnight,,,,,,,,,,,,,
race,amc lowes oak tree 6,,,4:50 pm,tomorrow,,,,,,,seattle,,,,,,
deadpool,amc hamilton 24,,,7pm,tomorrow,,amc hamilton 24,,,nj,,hamilton,,,,,,
deadpool,amc hamilton 24,,,7:05,tomorrow,,amc hamilton 24,,,nj,,hamilton,,,,,,
hail caesar,amc lowes oak tree 6,,,7:15 pm,tomorrow,,,,,,,seattle,,,,,,
zootopia,carmike summit 16,,,around 4pm,today,,,,,al,,birmingham,,3d,,,,
zootopia,carmike summit 16,,,around 4pm,today,,,,,al,,birmingham,,standard,,,,
zootopia,carmike summit 16,,,4 PM,today,,,,,al,,birmingham,,3d,,,,
zootopia,carmike summit 16,,,4 PM,today,,,,,al,,birmingham,,standard,,,,
zootopia,regal meridan 16,no,,night,tomorrow,,,,,wa,,seattle,,regular,,,,
zootopia,bellevue lincoln square cinemas,no,,night,tomorrow,,,,,wa,,seattle,,regular,,,,
zootopia,pacific science center imax theaters,no,,night,tomorrow,,,,,wa,,seattle,,regular,,,,
zootopia,regal meridan 16,no,,night,tomorrow,,,,,wa,,seattle,,3d,,,,
zootopia,bellevue lincoln square cinemas,no,,night,tomorrow,,,,,wa,,seattle,,3d,,,,
zootopia,elmwood palace 20,,,5pm,tomorrow,,amc,,70070,,,seattle,funny,,number 1,,,
zootopia,elmwood palace 20,,,5:00 pm,tomorrow,,amc,,70070,,,seattle,funny,,number 1,,,
zootopia,elmwood palace 20,,,5pm,tomorrow,,amc,,70070,,,seattle,comedy,,number 1,,,
zootopia,elmwood palace 20,,,5:00 pm,tomorrow,,amc,,70070,,,seattle,comedy,,number 1,,,
revenant,regal hollywood stadium 27,,,around 8 pm,tomorrow evening,,,,,tn,,nashville,,,,,,
revenant,regal hollywood stadium 27,,,7:50pm,tomorrow evening,,,,,tn,,nashville,,,,,,
,,,best restaurant,7:00 pm,tomorrow,,amc pacific place 11,,,,,Seattle,,,,,,
,,,best restaurant,7:00 pm,tomorrow,,amc pacific place 11,,,,,seattle,,,,,,
zootopia,chase park plaza cinemas,2,,afternoon,thursday,pg,,,,,,st louis,kids,,4.5/5,,,
zootopia,chase park plaza cinemas,2,,11:00am,thursday,pg,,,,,,st louis,kids,,4.5/5,,,
zootopia,chase park plaza cinemas,2,,1:30pm,thursday,pg,,,,,,st louis,kids,,4.5/5,,,
zootopia,chase park plaza cinemas,2,,4pm,thursday,pg,,,,,,st louis,kids,,4.5/5,,,
zootopia,chase park plaza cinemas,2,,130pm,thursday,pg,,,,,,st louis,kids,,4.5/5,,,
london has fallen,,,,closest to noon,next saturday,,,,90601,,closest,whittier village stadium cinemas,action,,top rated,,,
london has fallen,,,,closest to noon,March 12th,,,,90601,,closest,whittier village stadium cinemas,action,,top rated,,,
london has fallen,,,,1:30pm,next saturday,,,,90601,,closest,whittier village stadium cinemas,action,,top rated,,,
london has fallen,,,,1:30pm,March 12th,,,,90601,,closest,whittier village stadium cinemas,action,,top rated,,,
zoolander 2,regal meridian 16,,,9:25 pm,tomorrow,,,,,,,seattle,,,,,,
star wars the force awakens,regal lloyd center century eastport 16,,japanese restaurant,late showing,tonight,,,,,oregon,,seattle,,,,,,
star wars the force awakens,regal lloyd center century eastport 16,,japanese restaurant,late showing,tonight,,,,,oregon,,southeast portland,,,,,,
star wars the force awakens,regal lloyd center century eastport 16,,japanese restaurant,late showing,tonight,,,,,oregon,,portland,,,,,,
star wars the force awakens,regal movies on tv stadium 16,,japanese restaurant,late showing,tonight,,,,,oregon,,seattle,,,,,,
star wars the force awakens,regal movies on tv stadium 16,,japanese restaurant,late showing,tonight,,,,,oregon,,southeast portland,,,,,,
zootopia,regal meridian 16,,,4:10&&7:00&&9:50pm,tonight,,,,98101,wa,,seattle,,2d,,,,
zootopia,regal meridian 16,,,4:10&&7:00&&9:50pm,tonight,,,,98101,wa,,bellevue,,2d,,,,
zootopia,bellevue lincoln square cinemas,,,4:10&&7:00&&9:50pm,tonight,,,,98101,wa,,seattle,,2d,,,,
zootopia,bellevue lincoln square cinemas,,,4:10&&7:00&&9:50pm,tonight,,,,98101,wa,,bellevue,,2d,,,,
zootopia,regal meridian 16,,,4:10&&7:00&&9:50pm,tonight,,,,98004,wa,,seattle,,2d,,,,
deadpool,amc pacific place 11,,,10pm,tonight,,,,,,,seattle,,,,,,
deadpool,amc pacific place 11,,,10pm,tomorrow,,,,,,,seattle,,,,,,
deadpool,amc pacific place 11,,,10:00 pm,tonight,,,,,,,seattle,,,,,,
deadpool,amc pacific place 11,,,10:00 pm,tomorrow,,,,,,,seattle,,,,,,
,,,pub,,,,,,,,near space needle,,,,,,,
deadpool,carmike summit 16,,,2pm,saturday,,,,,al,,birmingham,,,,,,
deadpool,carmike summit 16,,,2:20 pm,saturday,,,,,al,,birmingham,,,,,,
zootopia,bellevue lincoln square cinemas,,restaurant,10:00am,last weekend,best,,,98004,wa,downtown,seattle,,,good,,,
zootopia,bellevue lincoln square cinemas,,restaurant,10:00am,last weekend,best,,,98004,wa,downtown,bellevue,,,good,,,
zootopia,pacific science center imax theaters,,restaurant,10:00am,last weekend,best,,,98004,wa,downtown,seattle,,,good,,,
